TC,TC,TC,msTime
215,215,0,1579747913404
215,215,0,1579747918448
215,215,0,1579747918475
215,215,0,1579747918499
214,214,0,1579747918519
214,214,0,1579747918539
214,214,0,1579747918559
214,214,0,1579747918579
214,214,0,1579747918599
214,214,0,1579747918619
213,214,0,1579747918639
214,213,0,1579747918659
214,213,0,1579747918679
214,213,0,1579747918699
213,214,0,1579747918719
213,214,0,1579747918739
215,214,0,1579747918759
214,214,0,1579747918779
214,214,0,1579747918799
213,213,0,1579747918819
213,213,0,1579747918839
213,213,0,1579747918859
213,213,0,1579747918879
213,213,0,1579747918899
213,213,0,1579747918919
213,213,0,1579747918939
213,213,0,1579747918959
212,212,0,1579747918979
212,212,0,1579747918999
212,212,0,1579747919021
213,213,0,1579747919041
212,212,0,1579747919061
212,212,0,1579747919081
212,212,0,1579747919101
212,212,0,1579747919121
212,212,0,1579747919141
212,212,0,1579747919161
212,212,0,1579747919181
212,212,0,1579747919201
212,212,0,1579747919221
212,212,0,1579747919241
212,212,0,1579747919261
211,211,0,1579747919281
211,211,0,1579747919301
211,211,0,1579747919321
212,212,0,1579747919341
211,211,0,1579747919361
211,211,0,1579747919381
211,211,0,1579747919401
211,211,0,1579747919421
211,211,0,1579747919441
211,212,0,1579747919461
211,211,0,1579747919481
211,211,0,1579747919501
211,211,0,1579747919521
211,211,0,1579747919541
211,210,0,1579747919561
210,210,0,1579747919581
210,210,0,1579747919601
210,210,0,1579747919621
211,211,0,1579747919641
210,210,0,1579747919661
210,210,0,1579747919681
210,210,0,1579747919701
210,210,0,1579747919721
210,210,0,1579747919741
211,211,0,1579747919761
211,211,0,1579747919781
210,210,0,1579747919801
210,210,0,1579747919821
210,210,0,1579747919841
210,210,0,1579747919861
210,210,0,1579747919881
210,210,0,1579747919901
210,210,0,1579747919921
210,210,0,1579747919941
210,209,0,1579747919961
210,210,0,1579747919981
210,210,0,1579747920001
210,210,0,1579747920038
210,210,0,1579747920058
210,210,0,1579747920078
210,210,0,1579747920098
210,210,0,1579747920118
209,209,0,1579747920138
210,210,0,1579747920158
210,209,0,1579747920178
210,209,0,1579747920198
210,209,0,1579747920218
210,210,0,1579747920238
209,209,0,1579747920258
209,209,0,1579747920279
209,209,0,1579747920299
209,209,0,1579747920319
209,209,0,1579747920339
209,209,0,1579747920359
209,209,0,1579747920379
210,210,0,1579747920399
210,209,0,1579747920419
209,209,0,1579747920439
210,210,0,1579747920459
210,209,0,1579747920479
209,209,0,1579747920499
209,209,0,1579747920519
209,209,0,1579747920539
209,209,0,1579747920559
209,209,0,1579747920579
209,209,0,1579747920599
209,209,0,1579747920619
209,209,0,1579747920639
208,209,0,1579747920659
209,209,0,1579747920679
209,209,0,1579747920699
209,209,0,1579747920719
209,209,0,1579747920739
210,210,0,1579747920759
209,209,0,1579747920779
209,209,0,1579747920799
208,208,0,1579747920819
209,209,0,1579747920839
209,208,0,1579747920859
209,208,0,1579747920879
208,208,0,1579747920899
209,209,0,1579747920919
209,208,0,1579747920939
208,208,0,1579747920959
208,208,0,1579747920979
209,209,0,1579747920999
209,209,0,1579747921019
209,209,0,1579747921039
210,210,0,1579747921059
209,209,0,1579747921079
209,209,0,1579747921099
208,208,0,1579747921119
209,209,0,1579747921139
209,209,0,1579747921159
209,208,0,1579747921179
